FSO_Att,RFL_Att,AbsoluteHumidity,AbsoluteHumidityMax,AbsoluteHumidityMin,Distance,Frequency,Particulate,ParticulateMax,ParticulateMin,RainIntensity,RainIntensityMax,RainIntensityMin,RelativeHumidity,SYNOPCode,Temperature,TemperatureDifference,TemperatureMax,TemperatureMin,Time,Visibility,VisibilityMax,VisibilityMin,WindDirection,WindSpeed,WindSpeedMax,WindSpeedMin
13.997498,9.0433232005708,20.24456748,20.8193395505542,18.4756891414288,2115.667536,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,97.366553511471,3,23.20113291,-1.2,25.0212541844894,21.0634127064445,17,141.152237,154.806868484797,129.044487957178,89.9860538069062,0.076957423,0.684637524,0.0722234333272722
10.94615375,6.08883880854388,20.16462617,20.8339079185387,19.2615578707795,2119.13817,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,98.0064876699691,3,23.01729566,-1.14,25.1822101419676,20.8547076249444,17,2936.2158,2985.1744379383,2898.28108311899,103.503641271961,0.27499186,0.753249869,0.254560645593108
7.419227244,8.09471863501221,17.51508498,18.0176321375968,16.1102138451541,2962.180194,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,82.951955920393,3,23.47099233,-0.4,24.0864568532167,22.2703711608197,14,26762.24642,27056.3508343931,24252.6173831421,99.4467190792414,0.476145049,0.943513285,0.474088035330282
7.473629465,8.00148756624098,17.79614859,18.8587009943343,17.2323163621134,2964.409031,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,84.5615441874457,3,23.41313441,-0.28,24.6349759691075,23.0735257865801,14,9383.749728,9504.42554402308,8736.24734610898,50.9948138981682,0.172512054,0.584784872,0.161007531192952
7.892707806,8.06229169330499,17.94365723,17.9953987720845,16.5213352709296,2963.216445,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,87.5178707813035,3,22.95607431,-0.54,23.2635331288378,22.1614217154951,15,578.0146211,598.699390537657,577.802421156658,104.418343315852,0.0,0.091539083,0.0
7.311570929,9.51968924762886,18.10679978,19.3976029929456,17.0930719114834,2959.32922,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,85.1984902933659,3,23.58513546,0.3,24.5002846588484,23.473559481418,15,17.36183236,18.8606975744643,16.2430626220411,156.010048790435,0.632527292,1.573128975,0.594499836250733
7.07384096,8.23607366557621,17.96457988,18.6674215764067,16.9084907554088,2962.210023,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,84.7902936492338,3,23.53101049,0.13,24.7874099843654,21.8473092717633,15,17.39946762,17.8066607951909,15.745126775929,90.5842261889068,0.56602267,1.424517934,0.538138430783293
6.880905631,8.96926158169533,17.61759768,18.4391168078778,16.2645120206948,2962.060871,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,83.1965689651867,3,23.52172883,0.3,25.7297330360306,21.8229872037807,15,17.32114337,17.5230658958321,16.3550544899706,96.0333362566194,0.685869168,1.557474637,0.622404015613384
7.086238705,8.99412680839517,17.47603502,18.7650821961769,16.9532387005057,2956.291915,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,80.2389647907934,3,24.01638804,0.45,24.6408040098603,23.4846073101581,15,2352.028942,2473.63012771529,2149.07287585197,151.440268153985,0.0,0.27869668,0.0
7.25472475,8.47428521328776,17.89303247,18.3010060391988,16.7996007656778,2958.112932,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,80.8895691917762,3,24.28986243,1.23,25.5135739713682,22.8539597962097,15,23576.67904,25287.3585710608,23557.9954780131,152.700537601008,0.0,0.304938201,0.0
7.744657478,8.41040481608884,17.80112684,19.3205760856866,16.5205080710838,2961.091058,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,80.5308563760661,3,24.27741247,1.21,24.3475730400653,22.5452024039895,15,9097.85763,9636.84819695737,8638.55765606222,85.8257879939271,0.09636049,0.248446691,0.0938912868518245
7.16220778,7.96290129700164,17.39304502,17.5425295846321,17.3808106461463,2959.892431,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,80.0183183024741,3,23.9810414,-0.68,25.8181743410933,21.9502456191129,17,21.38807896,21.9626380423601,20.2426745399586,85.4874483580907,0.197264274,0.647651444,0.190502629112591
7.385219632,8.34691891146344,17.53970782,18.8835768141674,15.9762794128507,2961.25449,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,80.7777339508496,3,23.96256801,-0.61,25.9177493211489,22.2619654264793,17,8330.86518,8634.7909293756,7993.12301389725,91.954842314063,0.579589538,1.328822935,0.531996012729694
7.112872847,7.74187052255124,17.5870671,19.1977852155863,16.5829924115488,2960.431996,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,81.4340781475352,3,23.86757051,-0.87,25.8915259505422,23.5167688048235,17,27629.12117,29823.0373132157,25360.2692048905,99.1563641633113,0.895739598,1.721192238,0.862916919308149
6.949560295,6.777578660351,17.18311231,17.4422149295844,16.3016481082579,2957.755064,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,79.8499988668644,3,23.80435774,-1.39,24.1231024219926,21.638040073469,17,28400.61,30527.1073305534,26828.8532399234,78.064880925787,1.035858483,2.106082881,1.02224971069847
12.51304374,7.9038184391485,16.41674995,16.5623286476939,14.7959400726309,2958.871068,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,98.0371055299126,3,19.46629079,-0.18,19.4764544080077,18.4894589804399,18,3046.090085,3300.69930456069,2815.55094610876,91.2252898856208,0.186701136,0.310929344,0.17714832252546
8.524342262,5.05357646795224,14.2884624,14.5910417315113,13.8527100246935,2958.552562,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,94.2778121002395,3,17.7811813,-0.61,17.8880655588155,16.4232407722424,19,33711.90062,34414.7422261965,31094.8550787128,83.9899931807306,0.000861421,0.00345,0.0008611040232619
9.354439046,5.6233879594829,13.92519218,14.2194147339607,12.5870617728424,2959.925058,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,93.6535888161926,3,17.46089386,-0.52,19.1173872472217,16.0728909639028,19,12795.1929,13429.5735292073,12241.6965349555,101.003649516216,0.0,0.119672408,0.0
9.457782525,5.46951753582413,13.9755683,15.2564584799228,12.6219985857153,2959.031162,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,94.347884706907,3,17.39771875,-0.5,17.6433324648685,15.8319263999211,19,18362.50377,18627.1441798862,16708.6443901465,171.332976735635,0.0,0.0,0.0
15.19041448,6.01077117920194,14.00328404,14.7440444286069,13.5665319670013,2956.376014,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,95.5529406729642,3,17.21865071,-0.6,17.6950312869343,17.1023400812809,19,64.03302724,65.1268733541291,59.2020119601241,86.8975341672804,0.0,0.040805988,0.0
8.780559124,5.08588696298406,14.0491763,14.3383710407117,13.5769884718018,2964.645666,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,95.2405716332117,3,17.3280689,-0.53,18.1296297250267,17.2165563874576,19,35787.29884,37536.1905109608,34498.0422933226,84.7464808319263,0.0,0.23225331,0.0
9.493278611,5.38406325710352,14.00001991,15.0431779160776,13.4851450658496,2962.95888,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,95.0489432247861,3,17.30314024,-0.68,18.6426677129209,16.2968248757819,19,39551.95018,43271.7867937631,39028.8029682736,140.634413382895,0.270895184,0.540884936,0.262513087694063
15.72593196,5.51854852862218,13.81836621,14.7626216345451,12.855233016236,2961.67481,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,94.8560572265189,3,17.1188912,-0.5,17.5604389791783,16.1529060066536,19,289.8097242,308.300998539006,267.337916638476,39.9805524058341,0.447643828,1.031689299,0.437359187906563
11.90877454,4.08455780273552,11.2540802,11.5498704640865,10.7069194559347,2956.542605,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,90.4101843542352,3,14.52051336,-0.34,15.5761410492292,13.1796764365086,14,30854.1965,33869.7309971991,29486.2032719444,41.0447244205119,0.044837574,0.137045814,0.0439956519075455
25.5317612,6.69346565417239,12.24037193,12.4103417641619,12.1473903308028,2960.362742,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,98.1178805894858,3,14.55643214,-0.62,14.9794676201054,14.4946104077814,18,1651.06731,1772.77318909286,1576.86121574041,99.4449444402533,0.057491014,0.148353363,0.0573003599842214
24.83173676,6.59460689108713,12.31833723,12.9883674160803,11.3078124455845,2958.598564,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,99.1839650731029,3,14.48354252,-0.6,15.273079868798,13.5324338242093,18,1588.723158,1611.81637062973,1547.4143794826,82.9238854416426,0.167382974,0.341086712,0.164753127136574
28.96078046,5.59503771973588,13.27799038,13.6360208048496,12.8937366721635,2955.373341,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,97.622046527029,3,15.97829157,-0.48,16.3130900214159,15.2816696129881,15,601.5360394,635.900721731413,594.836801752161,104.386226483002,0.11900145,0.313357541,0.116685756061491
25.29283541,6.16605087862817,13.59182457,13.9271014804722,13.2617719407826,2959.023319,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,98.0419307431832,3,16.29415499,-0.19,16.4157912390667,15.0248236294306,15,2158.832204,2357.43259675103,2125.14830089556,98.3552152905876,0.01979611,0.033003884,0.0187075305919011
32.45522168,6.11012549593773,13.51361384,14.5814066858555,13.0572930860825,2958.511722,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,99.0711351718768,3,16.02553307,0.15,16.7011094591139,15.6468124554918,16,1306.965589,1353.54352055619,1247.49647291729,106.40780120565,0.029854488,0.077335156,0.027449212679709
27.65316539,6.56300531899991,13.92120662,14.2487088981154,13.1932770760815,2962.555293,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,98.8671450880301,3,16.55253793,-0.1,16.7787823454642,16.4520605696454,19,730.0301771,754.709167372483,723.75756026205,90.6949048706299,0.083862073,0.356231759,0.0770627742014462
26.34642969,6.89480497558699,13.92562909,14.4258025884753,13.0096793318233,2956.509001,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,98.2005799715109,3,16.67029878,-0.1,17.1606655601271,16.5176050787279,19,901.7105445,991.049051342311,847.143629196162,46.4047513627097,0.290349217,0.651785232,0.282229238590556
26.55491107,7.21336776818302,14.00772595,15.1706647533161,12.874443324772,2963.324724,83500000000,0.0,0.0,0.0,0.0,0.0,0.0,99.022653901729,3,16.62940937,-0.17,17.2835166115872,15.2401366785711,19,1654.354646,1697.49949880589,1532.69394114857,96.6455734874879,0.186400686,0.321716347,0.176395338721176
23.40589988,6.81110878821288,13.9086222,13.9784002541466,13.6075488300543,2960.707317,73500000000,0.0,0.0,0.0,0.0,0.0,0.0,98.3666479902741,3,16.62187259,-0.24,16.9671811648323,15.1617072572304,19,2219.921484,2319.01778180281,2108.03003916743,85.8967065309449,0.081812706,0.131297064,0.0755504188285166
